sentenceId,raw_text,aspectTerms,aspectCategories
2191,Faan's got a great concept but a little rough on the delivery.,"[{'term': 'delivery', 'polarity': 'negative'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'negative'}]"
270,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'positive'}]"
638,"Great food at REASONABLE prices, makes for an evening that can't be beat!","[{'term': 'food', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'price', 'polarity': 'positive'}]"
500,Look foward to trying the Ruben upon returning.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1108,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
3294,We usually go to the Chart House to celebrate a birthday or anniversary.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
388,this little place has a cute interior decor and affordable city prices.,"[{'term': 'interior decor', 'polarity': 'positive'}, {'term': 'prices', 'polarity': 'positive'}]","[{'category': 'ambience', 'polarity': 'positive'}, {'category': 'price', 'polarity': 'positive'}]"
3070,You'll adore it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3373,Two words: Free wine.,"[{'term': 'wine', 'polarity': 'positive'}]","[{'category': 'price', 'polarity': 'positive'}]"
425,The price is reasonable although the service is poor.,"[{'term': 'price', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}, {'category': 'price', 'polarity': 'positive'}]"
3192,"The quantity is also very good, you will come out satisfied.","[{'term': 'quantity', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
1098,I have been to Roth's twice and both times were very disappointing.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
2173,Worth visiting the 1st Ave spot because it is the original store.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
391,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[{'term': 'sushi', 'polarity': 'neutral'}, {'term': 'sushi bar', 'polarity': 'neutral'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
263,"Raga's is a romantic, cozy restaurant.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'ambience', 'polarity': 'positive'}]"
2384,The fried rice is amazing here.,"[{'term': 'fried rice', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2962,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[{'term': 'mussels', 'polarity': 'positive'}, {'term': 'puff pastry goat cheese', 'polarity': 'positive'}, {'term': 'salad with a delicious dressing', 'polarity': 'positive'}, {'term': 'hanger steak au poivre', 'polarity': 'positive'}, {'term': 'courses', 'polarity': 'neutral'}]","[{'category': 'food', 'polarity': 'positive'}]"
3404,it's a perfect place to have a amanzing indian food.,"[{'term': 'indian food', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2599,The place is so cool and the service is prompt and curtious.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'positive'}]"
673,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[{'term': 'broth with noodles', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
648,I just wonder how you can have such a delicious meal for such little money.,"[{'term': 'meal', 'polarity': 'positive'}, {'term': 'money', 'polarity': 'positive'}]","[{'category': 'price', 'polarity': 'positive'}, {'category': 'food', 'polarity': 'positive'}]"
863,The food was delicious but do not come here on a empty stomach.,"[{'term': 'food', 'polarity': 'conflict'}]","[{'category': 'food', 'polarity': 'conflict'}]"
1623,The wine list is excellent.,"[{'term': 'wine list', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2177,so garantuan that you can't fit them in a toaster.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'food', 'polarity': 'positive'}]"
430,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).","[{'term': 'Thai food', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
1101,They wouldnt even let me finish my glass of wine before offering another.,"[{'term': 'glass of wine', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'positive'}]"
1823,I highly recommend the Sophia pizza.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
324,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.","[{'term': 'specials', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'negative'}]"
2783,This is a consistently great place to dine for lunch or dinner.,"[{'term': 'lunch', 'polarity': 'neutral'}, {'term': 'dinner', 'polarity': 'neutral'}, {'term': 'dine', 'polarity': 'positive'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2983,"Nice atmosphere, the service was very pleasant and the desert was good.","[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'desert', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'positive'}]"
66,All the people that I bring there go back on their own and bring THEIR friends!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
627,After really enjoying ourselves at the bar we sat down at a table and had dinner.,"[{'term': 'bar', 'polarity': 'positive'}, {'term': 'table', 'polarity': 'neutral'}, {'term': 'dinner', 'polarity': 'neutral'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3219,"Fabulous service, fantastic food, and a chilled out atmosphere and environment.","[{'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'environment', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'positive'}]"
2934,Not what I wanted to hear.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
2787,Try the lasagnette appetizer.,"[{'term': 'lasagnette appetizer', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
825,"Pricey, but worth a try, at least once.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'price', 'polarity': 'negative'}, {'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
197,"I've been there a few times, and I usually end up sitting next to some pretty odd people.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
604,I liked the beer selection!,"[{'term': 'beer selection', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2911,"Great food, good size menu, great service and an unpretensious setting.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'setting', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'positive'}]"
3074,Go here for a romantic dinner but not for an all out wow dining experience.,"[{'term': 'dinner', 'polarity': 'positive'}, {'term': 'dining', 'polarity': 'positive'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'conflict'}]"
1479,Can't wait to go back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1074,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.,"[{'term': 'Dosa', 'polarity': 'neutral'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
912,Wine list selection is good and wine-by-the-glass was generously filled to the top.,"[{'term': 'Wine list selection', 'polarity': 'positive'}, {'term': 'wine-by-the-glass', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
728,"With the great variety on the menu , I eat here often and never get bored .","[{'term': 'menu', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2925,The menu is very limited - i think we counted 4 or 5 entrees.,"[{'term': 'menu', 'polarity': 'negative'}, {'term': 'entrees', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'negative'}]"
495,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3436,The menu is limited but almost all of the dishes are excellent.,"[{'term': 'menu', 'polarity': 'negative'}, {'term': 'dishes', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'conflict'}]"
3273,Not too crazy about their sake martini.,"[{'term': 'sake martini', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'negative'}]"
1215,"Great bagels, spreads and a good place to hang out in.","[{'term': 'bagels', 'polarity': 'positive'}, {'term': 'spreads', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
183,"The service varys from day to day- sometimes they're very nice, and sometimes not.","[{'term': 'service', 'polarity': 'conflict'}]","[{'category': 'service', 'polarity': 'conflict'}]"
2511,"whoever the jazz duo was, they were on POINT.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'ambience', 'polarity': 'positive'}]"
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"[{'term': 'table', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'positive'}]"
1562,This place is a great bargain.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'price', 'polarity': 'positive'}]"
1712,We happened upon this place purely by accident and were pleased with the results.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3249,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[{'term': 'food', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
2052,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3207,We always have a delicious meal and always leave feeling satisfied.,"[{'term': 'meal', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
672,"Dip the ingredients in with your chopsticks, swirl them around, and eat.","[{'term': 'ingredients', 'polarity': 'neutral'}, {'term': 'chopsticks', 'polarity': 'neutral'}]","[{'category': 'food', 'polarity': 'neutral'}]"
2972,First went here to enjoy their garden terrace.,"[{'term': 'garden terrace', 'polarity': 'positive'}]","[{'category': 'ambience', 'polarity': 'positive'}]"
1903,"My husbands was perfect, my was well done and dry.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'food', 'polarity': 'conflict'}]"
2549,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'service', 'polarity': 'positive'}]"
1755,The pizza was pretty good and huge.,"[{'term': 'pizza', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2890,Sapphire is the only Indian restaurant I go to when I'm in NYC.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2277,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.","[{'term': 'cuisine', 'polarity': 'neutral'}]","[{'category': 'food', 'polarity': 'neutral'}]"
2308,I heartily recommend.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
51,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
3680,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,"[{'term': 'atmosphere', 'polarity': 'positive'}]","[{'category': 'ambience', 'polarity': 'positive'}]"
3155,They are often crowded on the weekends but they are efficient and accurate with their service.,"[{'term': 'service', 'polarity': 'positive'}, {'term': 'crowded', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'negative'}]"
1688,All my co-workers were amazed at how small the dish was.,"[{'term': 'dish', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'negative'}]"
598,"The atmosphere is unheralded, the service impecible, and the food magnificant.","[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'positive'}]"
2926,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.","[{'term': 'grilled branzino', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'negative'}]"
3083,"The wait staff is friendly, and the food has gotten better and better!","[{'term': 'wait staff', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'positive'}]"
1388,"This place, which is only a few months old, is perhaps Queens' biggest secret!","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2977,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.","[{'term': 'vibe', 'polarity': 'positive'}, {'term': 'French food', 'polarity': 'positive'}, {'term': 'packed', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'conflict'}]"
1574,This place is so much fun.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
498,I was glad I did.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2604,Right off the L in Brooklyn this is a nice cozy place with good pizza.,"[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'positive'}]"
473,I've never been treated so rudely.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'service', 'polarity': 'negative'}]"
380,I'll be back soon.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2960,Le Pere Pinard has a $15 pre-theater menu that is outstanding.,"[{'term': 'pre-theater menu', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
322,Went inside and I started to get excited.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1383,I also ordered for delivery and the restaurant forgot half the order.,"[{'term': 'delivery', 'polarity': 'negative'}, {'term': 'order', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}]"
892,Our server checked on us maybe twice during the entire meal.,"[{'term': 'server', 'polarity': 'negative'}, {'term': 'meal', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'negative'}]"
2296,"However, it is jus too good to not praise it.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
868,We have been to Montparnasse many times and return often for good reason.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2936,The strong scents coming from the left and right of me negatively affected my taste buds.,"[{'term': 'scents', 'polarity': 'negative'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
3423,We had the lobster sandwich and it was FANTASTIC.,"[{'term': 'lobster sandwich', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
154,It's somewhere you can eat and be happy.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
591,"If you wrote a bad review, it's because you don't understand what Rao's is all about.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
1197,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!","[{'term': 'check', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}]"
2061,but overall i give it a 10,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[{'term': 'Spider Roll', 'polarity': 'conflict'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'shell crab', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'price', 'polarity': 'positive'}]"
2804,Deep Fried Skewers are good and still rare to find in NYC.,"[{'term': 'Deep Fried Skewers', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
194,"I have tried to make reservations, but both times, the hostess didn't have my name.","[{'term': 'reservations', 'polarity': 'neutral'}, {'term': 'hostess', 'polarity': 'negative'}]","[{'category': 'service', 'polarity': 'negative'}]"
148,I also recommend the rice dishes or the different varieties of congee (rice porridge).,"[{'term': 'rice dishes', 'polarity': 'positive'}, {'term': 'congee (rice porridge)', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2747,Their tuna tartar appetizer is to die for.,"[{'term': 'tuna tartar appetizer', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2845,This was one of the BEST restaurants I've ever been to.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]"
187,This restaurant used to be pretty decent.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'negative'}]"
856,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.","[{'term': 'Food', 'polarity': 'conflict'}, {'term': 'chef', 'polarity': 'positive'}, {'term': 'fish dishes', 'polarity': 'positive'}, {'term': 'soups', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'positive'}, {'term': 'cuisine', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
2033,"If you love wine and cheese and delicious french fare, you'll love Artisanal!","[{'term': 'wine', 'polarity': 'positive'}, {'term': 'french fare', 'polarity': 'positive'}, {'term': 'cheese', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
1402,I love Indian food and consider myself to be quite an expert on it.,"[{'term': 'Indian food', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
439,Some baby pizzas get their wish.,"[{'term': 'baby pizzas', 'polarity': 'neutral'}]","[{'category': 'food', 'polarity': 'neutral'}]"
3360,Plenty of choices to make your own creation.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'food', 'polarity': 'positive'}]"
2949,It was tiny and I felt like I was eating in someone's living room.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'ambience', 'polarity': 'negative'}]"
570,I was there on sat.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]"
2053,Overall A oh ya even though there is waiting it is deff worth it,"[{'term': 'waiting', 'polarity': 'negative'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}, {'category': 'service', 'polarity': 'negative'}]"
3316,The lava cake dessert was incredible and I recommend it.,"[{'term': 'lava cake dessert', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]"
