sentenceId,raw_text,aspectTerms,aspectCategories
1788,"Still pretty pricey, but I've been putting off money for a while as a little Macbook Fund, and finally got to use it.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1630,I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.,"[{'term': 'battery', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
38,"In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).","[{'term': 'rubber enclosure', 'polarity': 'positive'}, {'term': 'edge', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
337,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).","[{'term': 'multi-touch gestures', 'polarity': 'positive'}, {'term': 'tracking area', 'polarity': 'positive'}, {'term': 'external mouse', 'polarity': 'neutral'}, {'term': 'gaming', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1505,Plus it is small and reasonably light so I can take it with me to and from work.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
263,I HATE this one.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1227,They were totally unconcerned that the computer was not correctly repaired in the first place.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1019,Toshiba does not send any one out unless you have paid extra to have the on site repair done.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1158,"Oh, boy!","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1168,But while this is one big advantage (as you may know from the company s recent commercials) there are other things to consider before going with Apple.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2568,I love the way the entire suite of software works together.,"[{'term': 'suite of software', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
295,The speed is incredible and I am more than satisfied.,"[{'term': 'speed', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
951,on the bright side at least I wasn't without my laptop for long this time!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2759,This laptop meets every expectation and Windows 7 is great!,"[{'term': 'Windows 7', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2055,That's how frustrating it was.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2980,I can barely use any usb devices because they will not stay connected properly.,"[{'term': 'usb devices', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2454,"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1054,"-No backlit keyboard, but not an issue for me.","[{'term': 'keyboard', 'polarity': 'conflict'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
743,When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.,"[{'term': 'software', 'polarity': 'neutral'}, {'term': 'system', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1155,I can't even turn it off.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2587,"One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.","[{'term': 'Microsoft office for the mac', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2202,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,"[{'term': 'syncing', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2799,I shopped around before buying.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2227,"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","[{'term': '30"" HD Monitor', 'polarity': 'positive'}, {'term': 'screen', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2241,Would do business again.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
92,The machine is slow to boot up and occasionally crashes completely.,"[{'term': 'boot up', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1204,"After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.","[{'term': 'service', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2026,I have had the luxury (sarcasm) of owning 2 of these laptops.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
535,What a waste.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
478,It was a total Dhell experience that I will never repeat.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1690,There are a few flaws as well that I noticed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1789,Completely worth every single penny dime and nickel.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
250,I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
325,"I did have to replace the battery once, but that was only a couple months ago and it's been working perfect ever since.","[{'term': 'battery', 'polarity': 'conflict'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
324,:) In the past four years I've had it I have never once gotten a virus.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1574,I love the operating system and the preloaded software.,"[{'term': 'operating system', 'polarity': 'positive'}, {'term': 'preloaded software', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1005,"They were great in handling this problem, and I'm looking forward in purchasing additonal products from them in the future.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
989,I've tried going back to XL but there still problems.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
3073,The best thing about this laptop is the price along with some of the newer features.,"[{'term': 'price', 'polarity': 'positive'}, {'term': 'features', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1254,"After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).","[{'term': 'clock in BIOS setup', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
810,YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.,"[{'term': 'WARRANTY SERVICE', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1346,But it may be potentially hundreds or thousands in the near future.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2383,Has met or exceeded my needs for a compact travel device.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
130,but now i have realized its a problem with this brand.,"[{'term': 'brand', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1253,It cannot save the correct date and time I set.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
839,I sent it back to Toshiba twice they covered it under the  warranty.,"[{'term': 'warranty', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1473,And this isn't just my one experine.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
782,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
696,I was looking for a mac which is portable and has all the features that I was looking for.,"[{'term': 'features', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2878,I would highly recommend this one to my friends,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
226,"I honestly love my mac, thats why I am a self proclaimed mac addict.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1652,And these are some reasons you should get a macbook pro.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1030,Also kinda loud when the fan was running.,"[{'term': 'fan', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1425,"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"").","[{'term': 'Customer Service number', 'polarity': 'neutral'}, {'term': 'warranty', 'polarity': 'negative'}, {'term': 'talking to a technician', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2861,I purchased this laptop while on a business trip to keep up with my email.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
661,There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.,"[{'term': 'hard disc', 'polarity': 'negative'}, {'term': 'windows', 'polarity': 'negative'}, {'term': 'drivers', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
997,Drivers updated ok but the BIOS update froze the system up and the computer shut down.,"[{'term': 'Drivers', 'polarity': 'positive'}, {'term': 'BIOS update', 'polarity': 'negative'}, {'term': 'system', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
192,-they lost my laptop for a month,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
463,Spent 2 hours on phone with HP Technical Support.,"[{'term': 'HP Technical Support', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2866,"This is my second laptop,and it is head and shoulders above my first.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
935,at first!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1193,"Speaking of the browser, it too has problems.","[{'term': 'browser', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2192,I think just going from PC to Mac has gotten me totally spoiled and I can't imagine ever going back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
147,The keyboard is too slick.,"[{'term': 'keyboard', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1433,Nightly my computer defrags itself and runs a virus scan.,"[{'term': 'virus scan', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1669,"It's like 9 punds, but if you can look past it, it's GREAT!","[{'term': '9 punds', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2462,It's just as fast with one program open as it is with sixteen open.,"[{'term': 'program', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2719,"Still under warrenty so called Toshiba, no help at all.","[{'term': 'warrenty', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1224,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,"[{'term': 'Toshiba Warranty', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
588,I LOVE IT!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2492,Amazing Quality!,"[{'term': 'Quality', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1541,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,"[{'term': 'webcam', 'polarity': 'neutral'}, {'term': 'value', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
3060,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).","[{'term': 'internet', 'polarity': 'neutral'}, {'term': 'managing personal files', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
915,"A month or so ago, the freaking motherboard just died.","[{'term': 'motherboard', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2050,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.","[{'term': 'system', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
460,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"[{'term': 'charger', 'polarity': 'negative'}, {'term': 'hardware', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1954,I took it back to Best Buy where they were so helpful and immediately gave me a new one.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1728,"If you had PC for four years I can almost gaurentee that something would of gone wrong by now, maybe even forcing you to replace your entire computer.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
620,"*2 weeks after giving the computer for repair*-Called headquarters, they report that they have not looked at it yet but it is ""on the top of the stack"".","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2423,This machine delivers.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1781,Then 2 of my nephews were going into music and both fell in love with the MacBook Pro.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
645,I complain again...,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2,This laptop is insane!!!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1524,"If a website ever freezes (which is rare), its really easy to force quit.","[{'term': 'force quit', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2472,It does run a little warm but that is a negligible concern.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
803,It rarely works and when it does it's incredibly slow.,"[{'term': 'works', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2225,I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.,"[{'term': 'Windows 7', 'polarity': 'positive'}, {'term': 'VMWare program', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2644,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!","[{'term': 'operating system', 'polarity': 'positive'}, {'term': 'runs', 'polarity': 'positive'}, {'term': 'navigate', 'polarity': 'positive'}, {'term': 'find files', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1365,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,"[{'term': 'warrenty', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1555,I always swore by PCs and would never consider a MAC.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2199,"what an elegant, wonderful machine.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
72,This is now my 3rd MacBook Pro and I really honestly love it!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1151,for 2 months.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2033,"I wanted to purchase the extended warranty and they refused, because they knew it was trouble.","[{'term': 'extended warranty', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2113,Do you ever think HP would do that? NEVER!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2271,We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,"[{'term': 'memory', 'polarity': 'neutral'}, {'term': 'speed', 'polarity': 'positive'}, {'term': 'performace', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1307,It's not like I have used for half a year and then complained about it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2186,Still trying to learn how to use it.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
103,"The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.","[{'term': 'opening my Documents folder', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1875,I bought the netbook because it was smaller and lighter for me to carry around.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1359,The Genius at the Apple store advised me that there was nothing about my use of the computer that caused this failure.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2483,We'll save our money to replace it with a Mac again!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2945,Thank you for your great product!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
197,"this company truely does make horrible products and doesnt seem to because they are certain things like this ""never"" happen...","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1149,I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.,"[{'term': 'operating systems', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
163,"Sorry Toshiba, but 1st impressions do count for something.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
900,"Then, within 5 months, the charger crapped out on me.","[{'term': 'charger', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1649,And if you have a iphone or ipod touch you can connect and download songs to it at high speed.,"[{'term': 'speed', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2972,Overall this laptop is great.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
446,I love the glass touchpad.,"[{'term': 'glass touchpad', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1912,  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.,"[{'term': 'hard drive', 'polarity': 'negative'}, {'term': 'mother board', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2752,I am using the external speaker- sound is good.,"[{'term': 'external speaker', 'polarity': 'positive'}, {'term': 'sound', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
270,The Apple MC371LL/A 2.4Ghz 15.4-inch MacBook Pro Notebook is a horrible waste of money.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2646,"Ok, this is probably the best laptop series ever devised by Apple.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
886,"As of a couple weeks ago the middle portion of the laptop from top to bottom,,,about 4 inches across is hardly visible.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2381,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.","[{'term': 'battery life', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
404,"Then HP sends it back to me with the hardware screwed up, not able to connect.","[{'term': 'hardware', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2772,I just hope the reputation that Toshiba has is true and I won't have to worry about a crash.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
407,"Oh yeah, don't forget the expensive shipping to and from HP.","[{'term': 'shipping', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
699,I would recommend anyone to buy from pcconnection express.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1034,Good luck.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1731,"Everything is so easy to use, Mac software is just so much simpler than Microsoft software.","[{'term': 'Mac software', 'polarity': 'positive'}, {'term': 'Microsoft software', 'polarity': 'negative'}, {'term': 'use', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1863,"  My favorite by far, although the most expensive, was my Sony.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1186,"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.","[{'term': 'delete  key', 'polarity': 'negative'}, {'term': 'editing', 'polarity': 'negative'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1029,Also I typed faster then then letters would show and it got to be realy annoying.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1014,As an owner of a Toshiba Satalite laptop computer things you should know before you buy.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2470,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"[{'term': 'use', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'phone assistance', 'polarity': 'positive'}, {'term': 'genius bar', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
331,"It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.","[{'term': 'battery life', 'polarity': 'positive'}, {'term': 'battery life', 'polarity': 'positive'}, {'term': 'gaming', 'polarity': 'neutral'}, {'term': 'movie playing', 'polarity': 'neutral'}, {'term': 'web browsing', 'polarity': 'neutral'}, {'term': 'word editing', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1073,"I shipped out on Saturday, July 17.","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2788,I bought it for really cheap also and it's AMAZING.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1057,"Acer has set me up with FREE recovery discs, when they are available since I asked.","[{'term': 'recovery discs', 'polarity': 'positive'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1095,"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause.","[{'term': 'Office Max\'s ""Max Assurance""', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
210,If you find yourself in the market for a new laptop (and have the money) don't exclude looking at the MBPs.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
1718,I eventually did the migration from my iMac backup disc which uses USB.,"[{'term': 'iMac backup disc', 'polarity': 'neutral'}, {'term': 'USB', 'polarity': 'neutral'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
2770,Those things are very important - vital even!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
642,"-They say it will take ""up to two weeks"".","[{'term': 'noaspectterm', 'polarity': 'none'}]","[{'category': 'noaspectcategory', 'polarity': 'none'}]"
